Text	Name	2010	2008	2006	2004	2002	2000	1998	1996	1995	10label	08label	06label	04label	02label	00label	98label	96label	95label	
Household ID number (original)	HHID	HHID	HHID	HHID	HHID	HHID	HHID	HHID	HHID	HHID	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Sub-household ID number	SUBHH	SUBHH	SUBHH	SUBHH	SUBHH	SUBHH	SUBHH	SUBHH	SUBHH	SUBHH	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Person number	PN	PN	PN	PN	PN	PN	PN	PN	PN	PN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Covered by Medicare now?	HaveMedicareA	N001	N001	N001	N001	N001	6238	5866	5133	5144	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have Medicare Part B?	HaveMedicareB	N004	N004	N004	N004	N004	6240	5867	5134	5145	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Covered by Medicaid recently?	HadMedicaid	N005	N005	N005	N005	N005	6241	5868	5135	5155	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Covered by Medicaid now?	HaveMedicaid	N006	N006	N006	N006	N006	6242	5869	5136	5158	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Covered by military plan now?	HaveChampus	N007	N007	N007	N007	N007	6251	5878	5145	5175	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Medicare by HMO?	MedicareByHMO	N009	N009	N009	N009	N009	6254	5881	5148	5183	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
HMO cover drugs?	HMOCoverDrugs	N351	N351	N351	N351	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
HMO premiums amount	HMOPremAmt	N014	N014	N014	N014	N014	6258	5885	5152	5193	Value3	Value3	Value3	Value3	Value4	Value4	Value4	Value4	Value4	
HMO premiums minimum	HMOPremMin	N015	N015	N015	N015	N015	N/A	N/A	N/A	N/A	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	
HMO premiums maximum	HMOPremMax	N016	N016	N016	N016	N016	N/A	N/A	N/A	N/A	Value4	Value4	Value8	Value4	Value4	Value4	Value4	Value4	Value4	
HMO premiums period	HMOPremPer	N018	N018	N018	N018	N018	6259	5886	5153	5194	Period1	Period1	Period1	Period1	Period1	Period1	Period1	Period1	Period1	
