Text	Name	2010	2008	2006	2004	2002	2000	1998		
Household ID number (original)	HHID	HHID	HHID	HHID	HHID	HHID	HHID	HHID		
Sub-household ID number	SUBHH	SUBHH	SUBHH	SUBHH	SUBHH	SUBHH	SUBHH	SUBHH		
Person number	PN	PN	PN	PN	PN	PN	PN	PN		
Covered by Medicare now?	HaveMedicareA	N001	N001	N001	N001	N001	2585	2560		
Have Medicare Part B?	HaveMedicareB	N004	N004	N004	N004	N004	2587	2561		
Covered by Medicaid recently?	HadMedicaid	N005	N005	N005	N005	N005	2588	2562		
Covered by Medicaid now?	HaveMedicaid	N006	N006	N006	N006	N006	2589	2563		
Covered by military plan now?	HaveChampus	N007	N007	N007	N007	N007	2598	2572		
Medicare by HMO?	MedicareByHMO	N009	N009	N009	N009	N009	2601	2575		
HMO cover drugs?	HMOCoverDrugs	N351	N351	N351	N351	N/A	N/A	N/A		
HMO premiums amount	HMOPremAmt	N014	N014	N014	N014	N014	2605	2579		
HMO premiums minimum	HMOPremMin	N015	N015	N015	N015	N015	N/A	N/A		
HMO premiums maximum	HMOPremMax	N016	N016	N016	N016	N016	N/A	N/A		
HMO premiums period	HMOPremPer	N018	N018	N018	N018	N018	2606	2580		
Have Medicare Part D?	HaveMedicareD	N352	N352	N352	N/A	N/A	N/A	N/A		
Have other prescription coverage? 	HaveDrugCover	N/A	N/A	N/A	N/A	N/A	N/A	N/A		
Number of other insurance plans	NumPrivPlans	N023	N023	N023	N023	N023	N/A	N/A		
Is plan 1 or Medicare primary?	Plan1Primary	N025_1	N025_1	N025_1	N025_1	N025_1	N/A	N/A		
Does plan 1 help with prescriptions?	Plan1PayRX	N032_1	N032_1	N032_1	N032_1	N032_1	2630	2602		
Is plan 1 from current employer?	Plan1CurEmp	N033_1	N033_1	N033_1	N033_1	N033_1	2616	N/A		
Is plan 1 from former employer?	Plan1ForEmp	N034_1	N034_1	N034_1	N034_1	N/A	N/A	N/A		
Is plan 1 from spouses cur employer?	Plan1CurSpEmp	N035_1	N035_1	N035_1	N035_1	N035_1	N/A	N/A		
Is plan 1 from spouses fmr employer?	Plan1ForSpEmp	N036_1	N036_1	N036_1	N036_1	N036_1	N/A	N/A		
How plan 1 was purchased	Plan1HowPurch	N037_1	N037_1	N037_1	N037_1	N037_1	N/A	N/A		
Pay all/some/none premiums on plan 1	Plan1PremPay	N039_1	N039_1	N039_1	N039_1	N039_1	2619	2591		
Premiums paid for plan 1 amount	Plan1PremAmt	N040_1	N040_1	N040_1	N040_1	N040_1	2620	2592		
Premiums paid period (2000 and before)	Plan1PremPer	N/A	N/A	N/A	N/A	N/A	2621	2593		
Premiums paid for plan 1 minimum	Plan1PremMin	N041_1	N041_1	N041_1	N041_1	N041_1	N/A	N/A		
Premiums paid for plan 1 maximum	Plan1PremMax	N042_1	N042_1	N042_1	N042_1	N042_1	N/A	N/A		
Plan 1 is Medigap (2000 and before)	Plan1Medigap	N/A	N/A	N/A	N/A	N/A	2623	2595		
Who else covered by plan 1 (first)?	Plan1WhoCoverA	N/A	N/A	N/A	N/A	N/A	N/A	N/A		
Who else covered by plan 1 (second)?	Plan1WhoCoverB	N/A	N/A	N/A	N/A	N/A	N/A	N/A		
Who else covered by plan 1 (third)?	Plan1WhoCoverC	N/A	N/A	N/A	N/A	N/A	N/A	N/A		
Is plan 1 an HMO?	Plan1IsHMO	N052_1	N052_1	N052_1	N052_1	N052_1	2625	2597		
Plan 1 have a doctor network?	Plan1DocNetwork	N055_1	N055_1	N055_1	N055_1	N055_1	2626	2598		
