TypeNum	MaxWealth	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21
1	0	1.27457	1.256883	1.190009	1.173155	1.147061	1.128633	1.087077	1.059368	1.015474	.981743	1.295901	1.269287	1.2768	1.267914	1.443964	1.403533	1.364234	1.326036	1.288907	1.252817	1.217738
2	0	2.065683	2.037018	1.928635	1.90132	1.859031	1.829164	1.761814	1.716906	1.645768	1.591101	1.579816	1.828091	1.68	1.611738	1.843171	1.821108	1.770117	1.720554	1.672379	1.625552	1.580037
3	0	2.930046	2.889387	2.735652	2.696907	2.636923	2.594559	2.499027	2.435328	2.334423	2.256881	2.482569	2.203483	2.16	1.958248	1.638375	1.5925	1.54791	1.504569	1.462441	1.421492	1.381691
4	0	4.102065	4.045142	3.829912	3.77567	3.691692	3.632382	3.498638	3.409459	3.268192	3.159633	3.385321	3.065964	2.7152	2.48166	2.352147	2.286287	2.222271	2.160047	2.099566	2.040778	1.983636
5	0	7.325115	7.223468	6.839129	6.742268	6.592308	6.486397	6.247568	6.08832	5.836057	5.642201	5.416513	6.930733	5.599376	4.719967	4.413241	4.28967	4.16956	4.052813	3.939334	3.829032	3.72182
6	0	1.728891	1.7049	1.614188	1.591326	1.555932	1.530935	1.474566	1.43698	1.37744	1.331686	1.273547	1.229347	1.213601	1.192651	1.130409	1.098757	1.067992	1.038088	1.009022	.9807693	.9533077
7	0	3.747472	3.69547	3.498845	3.449292	3.372573	3.31839	3.196207	3.114737	2.985681	2.886507	2.760487	2.664682	2.630551	2.58514	2.450227	2.38162	2.314935	2.250117	2.187114	2.125874	2.06635
8	0	4.407642	4.346479	4.115216	4.056933	3.9667	3.902972	3.759264	3.663442	3.511651	3.395005	3.246786	3.134103	3.09396	3.040549	2.881868	2.801176	2.722743	2.646507	2.572404	2.500377	2.430367
9	0	7.204238	7.104268	6.726272	6.63101	6.483523	6.379361	6.144472	5.987853	5.739752	5.549096	5.306832	5.122654	5.057041	4.969741	4.71038	4.578489	4.450292	4.325683	4.204564	4.086837	3.972405
10	0	12.85244	12.67409	11.99974	11.82979	11.56668	11.38085	10.9618	10.68239	10.23978	9.899646	9.467446	9.138869	5.7584	5.658993	5.363661	5.213478	5.067501	4.925611	4.787694	4.653639	4.523337
11	0	1.609551	1.587216	1.502765	1.481482	1.448531	1.425259	1.372781	1.33779	1.28236	1.294547	1.167744	1.268757	1.254107	1.269339	1.419242	1.343583	1.305963	1.269396	1.233853	1.199305	1.165724
12	0	2.266176	2.234729	2.115826	2.08586	2.039466	2.006701	1.932814	1.883547	1.805504	1.579816	1.726231	1.7316	1.721818	1.750259	1.754938	1.331566	1.294282	1.258042	1.222817	1.188578	1.155298
13	0	2.832719	2.793411	2.644782	2.607325	2.549333	2.508376	2.416017	2.354434	2.256881	2.437431	2.31518	2.5536	2.281523	2.198399	2.047968	2.358774	2.292728	2.228532	2.166133	2.105481	2.046528
14	0	4.249079	4.190116	3.967173	3.910987	3.824	3.762564	3.624026	3.531651	3.385321	3.385321	3.262492	3.0528	2.797498	2.844172	2.391003	2.324055	2.258981	2.19573	2.134249	2.074491	2.016405
15	0	7.648342	7.542209	7.140912	7.039776	6.883199	6.772615	6.523247	6.356972	6.093578	6.093578	5.799692	4.948	4.954684	4.758796	3.451506	3.50022	3.402215	3.306952	3.214358	3.124356	3.036874
